lon,lat,eez
-49.75,86.75,8438
-49.25,86.75,8438
-48.75,86.75,8438
-48.25,86.75,8438
-47.75,86.75,8438
-47.25,86.75,8438
-46.75,86.75,8438
-46.25,86.75,8438
-45.75,86.75,8438
-45.25,86.75,8438
-44.75,86.75,8438
-44.25,86.75,8438
-43.75,86.75,8438
-43.25,86.75,8438
-42.75,86.75,8438
-42.25,86.75,8438
-41.75,86.75,8438
-41.25,86.75,8438
-40.75,86.75,8438
-40.25,86.75,8438
-39.75,86.75,8438
-39.25,86.75,8438
-38.75,86.75,8438
-38.25,86.75,8438
-37.75,86.75,8438
-37.25,86.75,8438
-36.75,86.75,8438
-36.25,86.75,8438
-35.75,86.75,8438
-35.25,86.75,8438
-34.75,86.75,8438
-34.25,86.75,8438
-33.75,86.75,8438
-33.25,86.75,8438
-32.75,86.75,8438
-32.25,86.75,8438
-31.75,86.75,8438
-31.25,86.75,8438
-30.75,86.75,8438
-30.25,86.75,8438
-29.75,86.75,8438
-29.25,86.75,8438
-28.75,86.75,8438
-28.25,86.75,8438
-27.75,86.75,8438
-27.25,86.75,8438
-26.75,86.75,8438
-26.25,86.75,8438
-25.75,86.75,8438
-25.25,86.75,8438
-24.75,86.75,8438
-24.25,86.75,8438
-23.75,86.75,8438
-23.25,86.75,8438
-22.75,86.75,8438
-22.25,86.75,8438
-21.75,86.75,8438
-21.25,86.75,8438
-20.75,86.75,8438
-20.25,86.75,8438
-19.75,86.75,8438
-19.25,86.75,8438
-18.75,86.75,8438
-18.25,86.75,8438
-17.75,86.75,8438
-17.25,86.75,8438
-16.75,86.75,8438
-16.25,86.75,8438
-15.75,86.75,8438
-15.25,86.75,8438
-88.25,86.25,8493
-87.75,86.25,8493
-87.25,86.25,8493
-86.75,86.25,8493
-86.25,86.25,8493
-85.75,86.25,8493
-85.25,86.25,8493
-84.75,86.25,8493
-84.25,86.25,8493
-83.75,86.25,8493
-83.25,86.25,8493
-82.75,86.25,8493
-82.25,86.25,8493
-81.75,86.25,8493
-81.25,86.25,8493
-80.75,86.25,8493
-80.25,86.25,8493
-79.75,86.25,8493
-79.25,86.25,8493
-78.75,86.25,8493
-78.25,86.25,8493
-77.75,86.25,8493
-77.25,86.25,8493
-76.75,86.25,8493
-76.25,86.25,8493
-75.75,86.25,8493
-75.25,86.25,8493
-74.75,86.25,8493
-74.25,86.25,8493
-73.75,86.25,8493
-73.25,86.25,8493
-72.75,86.25,8493
-72.25,86.25,8493
-71.75,86.25,8493
-71.25,86.25,8493
-70.75,86.25,8493
-70.25,86.25,8493
-69.75,86.25,8493
-69.25,86.25,8493
-68.75,86.25,8493
-68.25,86.25,8493
-67.75,86.25,8493
-67.25,86.25,8493
-66.75,86.25,8493
-66.25,86.25,8493
-65.75,86.25,8493
-65.25,86.25,8493
-64.75,86.25,8493
-64.25,86.25,8493
-63.75,86.25,8493
-63.25,86.25,8493
-62.75,86.25,8493
-62.25,86.25,8493
-61.75,86.25,8493
-61.25,86.25,8493
-60.75,86.25,8493
-60.25,86.25,8493
-59.75,86.25,8438
-59.25,86.25,8438
-58.75,86.25,8438
-58.25,86.25,8438
-57.75,86.25,8438
-57.25,86.25,8438
-56.75,86.25,8438
-56.25,86.25,8438
-55.75,86.25,8438
-55.25,86.25,8438
-54.75,86.25,8438
-54.25,86.25,8438
-53.75,86.25,8438
-53.25,86.25,8438
-52.75,86.25,8438
-52.25,86.25,8438
-51.75,86.25,8438
-51.25,86.25,8438
-50.75,86.25,8438
-50.25,86.25,8438
-49.75,86.25,8438
-49.25,86.25,8438
-48.75,86.25,8438
-48.25,86.25,8438
-47.75,86.25,8438
-47.25,86.25,8438
-46.75,86.25,8438
-46.25,86.25,8438
-45.75,86.25,8438
-45.25,86.25,8438
-44.75,86.25,8438
-44.25,86.25,8438
-43.75,86.25,8438
-43.25,86.25,8438
-42.75,86.25,8438
-42.25,86.25,8438
-41.75,86.25,8438
-41.25,86.25,8438
-40.75,86.25,8438
-40.25,86.25,8438
-39.75,86.25,8438
-39.25,86.25,8438
-38.75,86.25,8438
-38.25,86.25,8438
-37.75,86.25,8438
-37.25,86.25,8438
-36.75,86.25,8438
-36.25,86.25,8438
-35.75,86.25,8438
-35.25,86.25,8438
-34.75,86.25,8438
-34.25,86.25,8438
-33.75,86.25,8438
-33.25,86.25,8438
-32.75,86.25,8438
-32.25,86.25,8438
-31.75,86.25,8438
-31.25,86.25,8438
-30.75,86.25,8438
-30.25,86.25,8438
-29.75,86.25,8438
-29.25,86.25,8438
-28.75,86.25,8438
-28.25,86.25,8438
-27.75,86.25,8438
-27.25,86.25,8438
-26.75,86.25,8438
-26.25,86.25,8438
-25.75,86.25,8438
-25.25,86.25,8438
-24.75,86.25,8438
-24.25,86.25,8438
-23.75,86.25,8438
-23.25,86.25,8438
-22.75,86.25,8438
-22.25,86.25,8438
-21.75,86.25,8438
-21.25,86.25,8438
-20.75,86.25,8438
-20.25,86.25,8438
-19.75,86.25,8438
-19.25,86.25,8438
-18.75,86.25,8438
-18.25,86.25,8438
-17.75,86.25,8438
-17.25,86.25,8438
-16.75,86.25,8438
-16.25,86.25,8438
-15.75,86.25,8438
-15.25,86.25,8438
-14.75,86.25,8438
-14.25,86.25,8438
-13.75,86.25,8438
-13.25,86.25,8438
-12.75,86.25,8438
-12.25,86.25,8438
-11.75,86.25,8438
-11.25,86.25,8438
-10.75,86.25,8438
-10.25,86.25,8438
-9.75,86.25,8438
-9.25,86.25,8438
-8.75,86.25,8438
-8.25,86.25,8438
-7.75,86.25,8438
-7.25,86.25,8438
-6.75,86.25,8438
-6.25,86.25,8438
-5.75,86.25,8438
-5.25,86.25,8438
-98.25,85.75,8493
-97.75,85.75,8493
-97.25,85.75,8493
-96.75,85.75,8493
-96.25,85.75,8493
-95.75,85.75,8493
-95.25,85.75,8493
-94.75,85.75,8493
-94.25,85.75,8493
-93.75,85.75,8493
-93.25,85.75,8493
-92.75,85.75,8493
-92.25,85.75,8493
-91.75,85.75,8493
-91.25,85.75,8493
-90.75,85.75,8493
-90.25,85.75,8493
-89.75,85.75,8493
-89.25,85.75,8493
-88.75,85.75,8493
-88.25,85.75,8493
-87.75,85.75,8493
-87.25,85.75,8493
-86.75,85.75,8493
-86.25,85.75,8493
-85.75,85.75,8493
-85.25,85.75,8493
-84.75,85.75,8493
-84.25,85.75,8493
-83.75,85.75,8493
-83.25,85.75,8493
-82.75,85.75,8493
-82.25,85.75,8493
-81.75,85.75,8493
-81.25,85.75,8493
-80.75,85.75,8493
-80.25,85.75,8493
-79.75,85.75,8493
-79.25,85.75,8493
-78.75,85.75,8493
-78.25,85.75,8493
-77.75,85.75,8493
-77.25,85.75,8493
-76.75,85.75,8493
-76.25,85.75,8493
-75.75,85.75,8493
-75.25,85.75,8493
-74.75,85.75,8493
-74.25,85.75,8493
-73.75,85.75,8493
-73.25,85.75,8493
-72.75,85.75,8493
-72.25,85.75,8493
-71.75,85.75,8493
-71.25,85.75,8493
-70.75,85.75,8493
-70.25,85.75,8493
-69.75,85.75,8493
-69.25,85.75,8493
-68.75,85.75,8493
-68.25,85.75,8493
-67.75,85.75,8493
-67.25,85.75,8493
-66.75,85.75,8493
-66.25,85.75,8493
-65.75,85.75,8493
-65.25,85.75,8493
-64.75,85.75,8493
-64.25,85.75,8493
-63.75,85.75,8493
-63.25,85.75,8493
-62.75,85.75,8493
-62.25,85.75,8493
-61.75,85.75,8493
-61.25,85.75,8493
-60.75,85.75,8493
-60.25,85.75,8493
-59.75,85.75,8493
-59.25,85.75,8493
-58.75,85.75,8493
-58.25,85.75,8493
-57.75,85.75,8438
-57.25,85.75,8438
-56.75,85.75,8438
-56.25,85.75,8438
-55.75,85.75,8438
-55.25,85.75,8438
-54.75,85.75,8438
-54.25,85.75,8438
-53.75,85.75,8438
-53.25,85.75,8438
-52.75,85.75,8438
-52.25,85.75,8438
-51.75,85.75,8438
-51.25,85.75,8438
-50.75,85.75,8438
-50.25,85.75,8438
-49.75,85.75,8438
-49.25,85.75,8438
-48.75,85.75,8438
-48.25,85.75,8438
-47.75,85.75,8438
-47.25,85.75,8438
-46.75,85.75,8438
-46.25,85.75,8438
-45.75,85.75,8438
-45.25,85.75,8438
-44.75,85.75,8438
-44.25,85.75,8438
-43.75,85.75,8438
-43.25,85.75,8438
-42.75,85.75,8438
-42.25,85.75,8438
-41.75,85.75,8438
-41.25,85.75,8438
-40.75,85.75,8438
-40.25,85.75,8438
-39.75,85.75,8438
-39.25,85.75,8438
-38.75,85.75,8438
-38.25,85.75,8438
-37.75,85.75,8438
-37.25,85.75,8438
-36.75,85.75,8438
-36.25,85.75,8438
-35.75,85.75,8438
-35.25,85.75,8438
-34.75,85.75,8438
-34.25,85.75,8438
-33.75,85.75,8438
-33.25,85.75,8438
-32.75,85.75,8438
-32.25,85.75,8438
-31.75,85.75,8438
-31.25,85.75,8438
-30.75,85.75,8438
-30.25,85.75,8438
-29.75,85.75,8438
-29.25,85.75,8438
-28.75,85.75,8438
-28.25,85.75,8438
-27.75,85.75,8438
-27.25,85.75,8438
-26.75,85.75,8438
-26.25,85.75,8438
-25.75,85.75,8438
-25.25,85.75,8438
-24.75,85.75,8438
-24.25,85.75,8438
-23.75,85.75,8438
-23.25,85.75,8438
-22.75,85.75,8438
-22.25,85.75,8438
-21.75,85.75,8438
-21.25,85.75,8438
-20.75,85.75,8438
-20.25,85.75,8438
-19.75,85.75,8438
-19.25,85.75,8438
-18.75,85.75,8438
-18.25,85.75,8438
-17.75,85.75,8438
-17.25,85.75,8438
-16.75,85.75,8438
-16.25,85.75,8438
-15.75,85.75,8438
-15.25,85.75,8438
-14.75,85.75,8438
-14.25,85.75,8438
-13.75,85.75,8438
-13.25,85.75,8438
-12.75,85.75,8438
-12.25,85.75,8438
-11.75,85.75,8438
-11.25,85.75,8438
-10.75,85.75,8438
-10.25,85.75,8438
-9.75,85.75,8438
-9.25,85.75,8438
-8.75,85.75,8438
-8.25,85.75,8438
-7.75,85.75,8438
-7.25,85.75,8438
-6.75,85.75,8438
-6.25,85.75,8438
-5.75,85.75,8438
-5.25,85.75,8438
-4.75,85.75,8438
-4.25,85.75,8438
-3.75,85.75,8438
-3.25,85.75,8438
-2.75,85.75,8438
-2.25,85.75,8438
-1.75,85.75,8438
-1.25,85.75,8438
-0.75,85.75,8438
-0.25,85.75,8438
-103.75,85.25,8493
-103.25,85.25,8493
-102.75,85.25,8493
-102.25,85.25,8493
-101.75,85.25,8493
-101.25,85.25,8493
-100.75,85.25,8493
-100.25,85.25,8493
-99.75,85.25,8493
-99.25,85.25,8493
-98.75,85.25,8493
-98.25,85.25,8493
-97.75,85.25,8493
-97.25,85.25,8493
-96.75,85.25,8493
-96.25,85.25,8493
-95.75,85.25,8493
-95.25,85.25,8493
-94.75,85.25,8493
-94.25,85.25,8493
-93.75,85.25,8493
-93.25,85.25,8493
-92.75,85.25,8493
-92.25,85.25,8493
-91.75,85.25,8493
-91.25,85.25,8493
-90.75,85.25,8493
-90.25,85.25,8493
-89.75,85.25,8493
-89.25,85.25,8493
-88.75,85.25,8493
-88.25,85.25,8493
-87.75,85.25,8493
-87.25,85.25,8493
-86.75,85.25,8493
-86.25,85.25,8493
-85.75,85.25,8493
-85.25,85.25,8493
-84.75,85.25,8493
-84.25,85.25,8493
-83.75,85.25,8493
-83.25,85.25,8493
-82.75,85.25,8493
-82.25,85.25,8493
-81.75,85.25,8493
-81.25,85.25,8493
-80.75,85.25,8493
-80.25,85.25,8493
-79.75,85.25,8493
-79.25,85.25,8493
-78.75,85.25,8493
-78.25,85.25,8493
-77.75,85.25,8493
-77.25,85.25,8493
-76.75,85.25,8493
-76.25,85.25,8493
-75.75,85.25,8493
-75.25,85.25,8493
-74.75,85.25,8493
-74.25,85.25,8493
-73.75,85.25,8493
-73.25,85.25,8493
-72.75,85.25,8493
-72.25,85.25,8493
-71.75,85.25,8493
-71.25,85.25,8493
-70.75,85.25,8493
-70.25,85.25,8493
-69.75,85.25,8493
-69.25,85.25,8493
-68.75,85.25,8493
-68.25,85.25,8493
-67.75,85.25,8493
-67.25,85.25,8493
-66.75,85.25,8493
-66.25,85.25,8493
-65.75,85.25,8493
-65.25,85.25,8493
-64.75,85.25,8493
-64.25,85.25,8493
-63.75,85.25,8493
-63.25,85.25,8493
-62.75,85.25,8493
-62.25,85.25,8493
-61.75,85.25,8493
-61.25,85.25,8493
-60.75,85.25,8493
-60.25,85.25,8493
-59.75,85.25,8493
-59.25,85.25,8493
-58.75,85.25,8493
-58.25,85.25,8493
-57.75,85.25,8493
-57.25,85.25,8438
-56.75,85.25,8438
-56.25,85.25,8438
-55.75,85.25,8438
-55.25,85.25,8438
-54.75,85.25,8438
-54.25,85.25,8438
-53.75,85.25,8438
-53.25,85.25,8438
-52.75,85.25,8438
-52.25,85.25,8438
-51.75,85.25,8438
-51.25,85.25,8438
-50.75,85.25,8438
-50.25,85.25,8438
-49.75,85.25,8438
-49.25,85.25,8438
-48.75,85.25,8438
-48.25,85.25,8438
-47.75,85.25,8438
-47.25,85.25,8438
-46.75,85.25,8438
-46.25,85.25,8438
-45.75,85.25,8438
-45.25,85.25,8438
-44.75,85.25,8438
-44.25,85.25,8438
-43.75,85.25,8438
-43.25,85.25,8438
-42.75,85.25,8438
-42.25,85.25,8438
-41.75,85.25,8438
-41.25,85.25,8438
-40.75,85.25,8438
-40.25,85.25,8438
-39.75,85.25,8438
-39.25,85.25,8438
-38.75,85.25,8438
-38.25,85.25,8438
-37.75,85.25,8438
-37.25,85.25,8438
-36.75,85.25,8438
-36.25,85.25,8438
-35.75,85.25,8438
-35.25,85.25,8438
-34.75,85.25,8438
-34.25,85.25,8438
-33.75,85.25,8438
-33.25,85.25,8438
-32.75,85.25,8438
-32.25,85.25,8438
-31.75,85.25,8438
-31.25,85.25,8438
-30.75,85.25,8438
-30.25,85.25,8438
-29.75,85.25,8438
-29.25,85.25,8438
-28.75,85.25,8438
-28.25,85.25,8438
-27.75,85.25,8438
-27.25,85.25,8438
-26.75,85.25,8438
-26.25,85.25,8438
-25.75,85.25,8438
-25.25,85.25,8438
-24.75,85.25,8438
-24.25,85.25,8438
-23.75,85.25,8438
-23.25,85.25,8438
-22.75,85.25,8438
-22.25,85.25,8438
-21.75,85.25,8438
-21.25,85.25,8438
-20.75,85.25,8438
-20.25,85.25,8438
-19.75,85.25,8438
-19.25,85.25,8438
-18.75,85.25,8438
-18.25,85.25,8438
-17.75,85.25,8438
-17.25,85.25,8438
-16.75,85.25,8438
-16.25,85.25,8438
-15.75,85.25,8438
-15.25,85.25,8438
-14.75,85.25,8438
-14.25,85.25,8438
-13.75,85.25,8438
-13.25,85.25,8438
-12.75,85.25,8438
-12.25,85.25,8438
-11.75,85.25,8438
-11.25,85.25,8438
-10.75,85.25,8438
-10.25,85.25,8438
-9.75,85.25,8438
-9.25,85.25,8438
-8.75,85.25,8438
-8.25,85.25,8438
-7.75,85.25,8438
-7.25,85.25,8438
-6.75,85.25,8438
-6.25,85.25,8438
-5.75,85.25,8438
-5.25,85.25,8438
-4.75,85.25,8438
-4.25,85.25,8438
-3.75,85.25,8438
-3.25,85.25,8438
-2.75,85.25,8438
-2.25,85.25,8438
-1.75,85.25,8438
-1.25,85.25,8438
-0.75,85.25,8438
-0.25,85.25,8438
0.25,85.25,8438
0.75,85.25,8438
1.25,85.25,8438
1.75,85.25,8438
2.25,85.25,8438
2.75,85.25,8438
