lon,lat,eez
-56,86.5,8438
-55,86.5,8438
-54,86.5,8438
-53,86.5,8438
-52,86.5,8438
-51,86.5,8438
-50,86.5,8438
-49,86.5,8438
-48,86.5,8438
-47,86.5,8438
-46,86.5,8438
-45,86.5,8438
-44,86.5,8438
-43,86.5,8438
-42,86.5,8438
-41,86.5,8438
-40,86.5,8438
-39,86.5,8438
-38,86.5,8438
-37,86.5,8438
-36,86.5,8438
-35,86.5,8438
-34,86.5,8438
-33,86.5,8438
-32,86.5,8438
-31,86.5,8438
-30,86.5,8438
-29,86.5,8438
-28,86.5,8438
-27,86.5,8438
-26,86.5,8438
-25,86.5,8438
-24,86.5,8438
-23,86.5,8438
-22,86.5,8438
-21,86.5,8438
-20,86.5,8438
-19,86.5,8438
-18,86.5,8438
-17,86.5,8438
-16,86.5,8438
-15,86.5,8438
-14,86.5,8438
-13,86.5,8438
-12,86.5,8438
-11,86.5,8438
-10,86.5,8438
-9,86.5,8438
-101,85.5,8493
-100,85.5,8493
-99,85.5,8493
-98,85.5,8493
-97,85.5,8493
-96,85.5,8493
-95,85.5,8493
-94,85.5,8493
-93,85.5,8493
-92,85.5,8493
-91,85.5,8493
-90,85.5,8493
-89,85.5,8493
-88,85.5,8493
-87,85.5,8493
-86,85.5,8493
-85,85.5,8493
-84,85.5,8493
-83,85.5,8493
-82,85.5,8493
-81,85.5,8493
-80,85.5,8493
-79,85.5,8493
-78,85.5,8493
-77,85.5,8493
-76,85.5,8493
-75,85.5,8493
-74,85.5,8493
-73,85.5,8493
-72,85.5,8493
-71,85.5,8493
-70,85.5,8493
-69,85.5,8493
-68,85.5,8493
-67,85.5,8493
-66,85.5,8493
-65,85.5,8493
-64,85.5,8493
-63,85.5,8493
-62,85.5,8493
-61,85.5,8493
-60,85.5,8493
-59,85.5,8493
-58,85.5,8493
-57,85.5,8438
-56,85.5,8438
-55,85.5,8438
-54,85.5,8438
-53,85.5,8438
-52,85.5,8438
-51,85.5,8438
-50,85.5,8438
-49,85.5,8438
-48,85.5,8438
-47,85.5,8438
-46,85.5,8438
-45,85.5,8438
-44,85.5,8438
-43,85.5,8438
-42,85.5,8438
-41,85.5,8438
-40,85.5,8438
-39,85.5,8438
-38,85.5,8438
-37,85.5,8438
-36,85.5,8438
-35,85.5,8438
-34,85.5,8438
-33,85.5,8438
-32,85.5,8438
-31,85.5,8438
-30,85.5,8438
-29,85.5,8438
-28,85.5,8438
-27,85.5,8438
-26,85.5,8438
-25,85.5,8438
-24,85.5,8438
-23,85.5,8438
-22,85.5,8438
-21,85.5,8438
-20,85.5,8438
-19,85.5,8438
-18,85.5,8438
-17,85.5,8438
-16,85.5,8438
-15,85.5,8438
-14,85.5,8438
-13,85.5,8438
-12,85.5,8438
-11,85.5,8438
-10,85.5,8438
-9,85.5,8438
-8,85.5,8438
-7,85.5,8438
-6,85.5,8438
-5,85.5,8438
-4,85.5,8438
-3,85.5,8438
-2,85.5,8438
-1,85.5,8438
0,85.5,8438
1,85.5,8438
-109,84.5,8493
-108,84.5,8493
-107,84.5,8493
-106,84.5,8493
-105,84.5,8493
-104,84.5,8493
-103,84.5,8493
-102,84.5,8493
-101,84.5,8493
-100,84.5,8493
-99,84.5,8493
-98,84.5,8493
-97,84.5,8493
-96,84.5,8493
-95,84.5,8493
-94,84.5,8493
-93,84.5,8493
-92,84.5,8493
-91,84.5,8493
-90,84.5,8493
-89,84.5,8493
-88,84.5,8493
-87,84.5,8493
-86,84.5,8493
-85,84.5,8493
-84,84.5,8493
-83,84.5,8493
-82,84.5,8493
-81,84.5,8493
-80,84.5,8493
-79,84.5,8493
-78,84.5,8493
-77,84.5,8493
-76,84.5,8493
-75,84.5,8493
-74,84.5,8493
-73,84.5,8493
-72,84.5,8493
-71,84.5,8493
-70,84.5,8493
-69,84.5,8493
-68,84.5,8493
-67,84.5,8493
-66,84.5,8493
-65,84.5,8493
-64,84.5,8493
-63,84.5,8493
-62,84.5,8493
-61,84.5,8493
-60,84.5,8493
-59,84.5,8493
-58,84.5,8493
-57,84.5,8493
-56,84.5,8438
-55,84.5,8438
-54,84.5,8438
-53,84.5,8438
-52,84.5,8438
-51,84.5,8438
-50,84.5,8438
-49,84.5,8438
-48,84.5,8438
-47,84.5,8438
-46,84.5,8438
-45,84.5,8438
-44,84.5,8438
-43,84.5,8438
-42,84.5,8438
-41,84.5,8438
-40,84.5,8438
-39,84.5,8438
-38,84.5,8438
-37,84.5,8438
-36,84.5,8438
-35,84.5,8438
-34,84.5,8438
-33,84.5,8438
-32,84.5,8438
-31,84.5,8438
-30,84.5,8438
-29,84.5,8438
-28,84.5,8438
-27,84.5,8438
-26,84.5,8438
-25,84.5,8438
-24,84.5,8438
-23,84.5,8438
-22,84.5,8438
-21,84.5,8438
-20,84.5,8438
-19,84.5,8438
-18,84.5,8438
-17,84.5,8438
-16,84.5,8438
-15,84.5,8438
-14,84.5,8438
-13,84.5,8438
-12,84.5,8438
-11,84.5,8438
-10,84.5,8438
-9,84.5,8438
-8,84.5,8438
-7,84.5,8438
-6,84.5,8438
-5,84.5,8438
-4,84.5,8438
-3,84.5,8438
-2,84.5,8438
-1,84.5,8438
0,84.5,8438
1,84.5,8438
2,84.5,8438
3,84.5,8438
4,84.5,8438
5,84.5,8438
42,84.5,5690
43,84.5,5690
44,84.5,5690
45,84.5,5690
46,84.5,5690
47,84.5,5690
48,84.5,5690
49,84.5,5690
50,84.5,5690
51,84.5,5690
52,84.5,5690
53,84.5,5690
54,84.5,5690
55,84.5,5690
56,84.5,5690
57,84.5,5690
58,84.5,5690
59,84.5,5690
60,84.5,5690
61,84.5,5690
62,84.5,5690
63,84.5,5690
64,84.5,5690
65,84.5,5690
66,84.5,5690
67,84.5,5690
68,84.5,5690
69,84.5,5690
70,84.5,5690
71,84.5,5690
72,84.5,5690
73,84.5,5690
74,84.5,5690
75,84.5,5690
76,84.5,5690
77,84.5,5690
78,84.5,5690
87,84.5,5690
88,84.5,5690
89,84.5,5690
90,84.5,5690
91,84.5,5690
92,84.5,5690
93,84.5,5690
94,84.5,5690
95,84.5,5690
96,84.5,5690
97,84.5,5690
98,84.5,5690
99,84.5,5690
100,84.5,5690
101,84.5,5690
102,84.5,5690
-114,83.5,8493
-113,83.5,8493
-112,83.5,8493
-111,83.5,8493
-110,83.5,8493
-109,83.5,8493
-108,83.5,8493
-107,83.5,8493
-106,83.5,8493
-105,83.5,8493
