year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
1950,2368157663673.303,34825847995.19563,8311,apecosm,ipsl,historical
1951,2173602870369.5342,31964748093.66962,8311,apecosm,ipsl,historical
1952,2214330087015.4634,32563677750.2274,8311,apecosm,ipsl,historical
1953,2441472973175.0117,35904014311.39723,8311,apecosm,ipsl,historical
1954,2519279076165.9854,37048221708.32331,8311,apecosm,ipsl,historical
1955,2547937146690.3545,37469663921.91698,8311,apecosm,ipsl,historical
1956,2465451198165.6533,36256635267.14196,8311,apecosm,ipsl,historical
1957,2446340021877.4336,35975588557.02108,8311,apecosm,ipsl,historical
1958,2392032656296.3545,35176950827.887566,8311,apecosm,ipsl,historical
1959,2137548239040.207,31434532927.061867,8311,apecosm,ipsl,historical
1960,2132772386031.833,31364299794.585777,8311,apecosm,ipsl,historical
1961,2227098916529.251,32751454654.841927,8311,apecosm,ipsl,historical
1962,2374706821535.522,34922159140.228264,8311,apecosm,ipsl,historical
1963,2442919218427.563,35925282623.93475,8311,apecosm,ipsl,historical
1964,2562278361265.6113,37680564136.25899,8311,apecosm,ipsl,historical
1965,2552230672726.3867,37532804010.68216,8311,apecosm,ipsl,historical
1966,2341304792112.6636,34430952825.18623,8311,apecosm,ipsl,historical
1967,2218058126833.1875,32618501865.19393,8311,apecosm,ipsl,historical
1968,2330853643083.928,34277259457.116592,8311,apecosm,ipsl,historical
1969,2446091470380.8735,35971933387.95402,8311,apecosm,ipsl,historical
1970,2303432323902.013,33874004763.2649,8311,apecosm,ipsl,historical
1971,2411976395300.0547,35470241107.353745,8311,apecosm,ipsl,historical
1972,2463368404366.3823,36226005946.564445,8311,apecosm,ipsl,historical
1973,2274180720921.3223,33443834131.195915,8311,apecosm,ipsl,historical
1974,2443456859678.097,35933189112.91319,8311,apecosm,ipsl,historical
1975,2458526821767.32,36154806202.46059,8311,apecosm,ipsl,historical
1976,2320574182677.083,34126090921.72181,8311,apecosm,ipsl,historical
1977,2365562647827.145,34787685997.458015,8311,apecosm,ipsl,historical
1978,2524861702905.057,37130319160.368484,8311,apecosm,ipsl,historical
1979,2460066374600.552,36177446685.30223,8311,apecosm,ipsl,historical
1980,2480831506749.316,36482816275.725235,8311,apecosm,ipsl,historical
1981,2601325987095.2246,38254793927.87095,8311,apecosm,ipsl,historical
1982,2475175956320.751,36399646416.48163,8311,apecosm,ipsl,historical
1983,2455142010306.464,36105029563.33035,8311,apecosm,ipsl,historical
1984,2544740132976.1655,37422649014.35537,8311,apecosm,ipsl,historical
1985,2734619923320.0557,40214998872.35376,8311,apecosm,ipsl,historical
1986,2703553611229.971,39758141341.617226,8311,apecosm,ipsl,historical
1987,2414424227162.3013,35506238634.73973,8311,apecosm,ipsl,historical
1988,2233285562007.3267,32842434735.40186,8311,apecosm,ipsl,historical
1989,2288038178920.323,33647620278.240044,8311,apecosm,ipsl,historical
1990,2230519240802.676,32801753541.21582,8311,apecosm,ipsl,historical
1991,2343590240212.704,34464562356.069176,8311,apecosm,ipsl,historical
1992,2536443155810.006,37300634644.26479,8311,apecosm,ipsl,historical
1993,2535272287835.9443,37283415997.58742,8311,apecosm,ipsl,historical
1994,2545828185226.612,37438649782.74429,8311,apecosm,ipsl,historical
1995,2554632562369.2324,37568125917.194595,8311,apecosm,ipsl,historical
1996,2509624532414.058,36906243123.736145,8311,apecosm,ipsl,historical
1997,2562686021486.2725,37686559139.504005,8311,apecosm,ipsl,historical
1998,2574921482319.975,37866492387.05846,8311,apecosm,ipsl,historical
1999,2782885907985.314,40924792764.489914,8311,apecosm,ipsl,historical
2000,2654001137173.5835,39029428487.84681,8311,apecosm,ipsl,historical
2001,2689416460074.431,39550242059.918106,8311,apecosm,ipsl,historical
2002,2707738098497.4614,39819677919.080315,8311,apecosm,ipsl,historical
2003,2769144022016.3647,40722706206.12302,8311,apecosm,ipsl,historical
2004,2587735730438.606,38054937212.332436,8311,apecosm,ipsl,historical
2005,2556265967210.3486,37592146576.62277,8311,apecosm,ipsl,historical
2006,2555506300843.4985,37580975012.40439,8311,apecosm,ipsl,historical
2007,2776556850049.016,40831718383.07377,8311,apecosm,ipsl,historical
2008,2681356821505.5264,39431717963.31657,8311,apecosm,ipsl,historical
2009,2624929384889.332,38601902718.96076,8311,apecosm,ipsl,historical
2010,2628393309997.1636,38652842794.075935,8311,apecosm,ipsl,historical
2011,2626215117859.7114,38620810556.76047,8311,apecosm,ipsl,historical
2012,2671797611690.2417,39291141348.3859,8311,apecosm,ipsl,historical
2013,2692906602610.455,39601567685.44787,8311,apecosm,ipsl,historical
2014,2643451869109.515,38874292192.78699,8311,apecosm,ipsl,historical
1950,3179184924478.736,46075143833.025154,8323,apecosm,ipsl,historical
1951,3232195690627.0693,46843415806.18941,8323,apecosm,ipsl,historical
1952,3139048701901.1743,45493459447.84311,8323,apecosm,ipsl,historical
1953,3532516075626.8457,51195885154.01226,8323,apecosm,ipsl,historical
1954,3738129565432.9844,54175790803.37659,8323,apecosm,ipsl,historical
1955,3287022707998.9004,47638010260.85363,8323,apecosm,ipsl,historical
1956,3206652149742.33,46473219561.48305,8323,apecosm,ipsl,historical
1957,3230592079983.733,46820175072.22801,8323,apecosm,ipsl,historical
1958,3226492540380.975,46760761454.79674,8323,apecosm,ipsl,historical
1959,3109800652486.9883,45069574673.72447,8323,apecosm,ipsl,historical
1960,2947527461168.5737,42717789292.29817,8323,apecosm,ipsl,historical
1961,3064731213359.422,44416394396.51336,8323,apecosm,ipsl,historical
1962,3348959068322.5693,48535638671.34158,8323,apecosm,ipsl,historical
1963,3399884773619.5845,49273692371.298325,8323,apecosm,ipsl,historical
1964,3276886305374.0195,47491105874.985794,8323,apecosm,ipsl,historical
1965,3412103069468.0347,49450769122.725136,8323,apecosm,ipsl,historical
1966,3327164576877.2593,48219776476.48202,8323,apecosm,ipsl,historical
